Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1090.01,1.6,7200.0,2.93941,566.502,3.70837,9.495,9.669,9.423,10.394,9.388,9.411,9.407,10.0196,0,242.016315,-68.588832,1090.01,22.7769,2.032022406562972,1159.0164706623905,3.6466736346209583,2.19296,2928.8724999746373,5779899163.148309,0.3,2.3,16509.600000000002,0.5,1,0,0,0,5.0,1.0,50.0,1.0,100.0,1.0,Eclipse,1.0,1.0,1.0,3
1091.01,1.6592,7348.0,2.38732,321.671,3.90496,8.724,8.861,8.643,9.71,8.598,8.624,8.669,9.3529,0,222.101134,-56.025931,1091.01,15.0024,1.3384267811783137,265.2362524807921,0.8345265777927985,1.725841,2900.0748164250567,4986852946.627402,0.3,2.3,13226.4,0.5,1,0,0,0,1.0,1.0,8.0,1.0,17.0,2.0,Eclipse,1.0,1.0,2.0,3
1094.01,1.804,7710.0,2.28468,426.003,3.9781,9.382,9.531,9.364,10.286,9.174,9.193,9.447,9.9806,0,230.498827,-53.819601,1094.01,9.08382,0.8104055326749845,61.5137579580727,0.1935439271056754,0.5971314,4181.567671771948,2527271565.897047,0.3,2.3,1684.8000000000002,0.5,1,0,0,0,3.0,2.0,51.0,24.0,102.0,49.0,Eclipse,2.0,24.0,49.0,1
1095.01,1.54975,7066.0,2.66473,582.521,3.77988,9.76,9.877,9.661,10.753,9.552,9.557,9.522,10.4291,0,133.968965,-75.926187,1095.01,11.9167,1.063138592709674,96.19409166576916,0.3026604597632616,1.4821401,3135.174119882561,4404262349.263784,0.3,2.3,6404.4,0.5,1,0,0,0,2.0,1.0,33.0,13.0,67.0,26.0,Eclipse,1.0,13.0,26.0,2
1099.01,0.7386666666666667,4815.0,0.800152,23.606,4.52382,6.085,6.57,5.967,8.23,5.894329902662438,5.790508930833639,5.643457956040141,7.3661,0,328.718171,-77.338802,1099.01,2.4623926,0.2196803312546858,6.753570208110894,0.0212491082231164,6.4409822,811.693140572818,9161727293.789812,0.3,2.3,6603.30288,0.5,1,0,0,0,3.0,110.0,11.0,325.0,20.0,543.0,Transit,3.0,11.0,20.0,2
1097.01,1.019,5876.0,0.983215,79.5561,4.47808,7.89,8.144,7.82,9.29,7.772,7.814,7.787,8.7215,0,189.775859,-74.57402,1097.01,2.17371,0.1939257504476025,5.4356380362392445,0.0171024298755374,9.1885056,924.4785297980648,12924520656.53599,0.3,2.3,8935.2,0.5,1,0,0,0,10.0,528.0,82.0,2663.0,159.0,5312.0,Transit,10.0,82.0,159.0,1
1100.01,1.070625,6033.0,1.14849,205.43,4.36703,9.594,9.892,9.555,11.049,9.504,9.543,9.477,10.5135,0,9.126138,-83.567067,1100.01,4.23693,0.3779942263889665,16.938108586854334,0.0532932495503947,20.0734756,784.1237945531952,22121808941.39384,0.3,2.3,14558.399999999998,0.5,1,0,0,0,9.0,507.0,105.0,3293.0,209.0,6699.0,Transit,9.0,105.0,209.0,1
1097.02,1.019,5876.0,0.983215,79.5561,4.47808,7.89,8.144,7.82,9.29,7.772,7.814,7.787,8.7215,0,189.775859,-74.57402,1097.02,2.6136848,0.2331777404867677,7.428387419703381,0.023372320615686,13.9028391,805.2745220673783,17034138988.32536,0.3,2.3,7655.194439999999,0.5,1,0,0,0,9.0,696.0,77.0,3699.0,151.0,7178.0,Transit,9.0,77.0,151.0,1
1101.01,1.000875,5803.5,1.56013,262.794,4.06878,9.798,10.064,9.779,11.254,9.503,9.549,9.561,10.5891,0,319.551469,-77.529113,1101.01,10.2264744,0.9123465054920832,74.74098272839544,0.2351614304372494,2.6690078,1741.9081385704374,5634901168.058995,0.3,2.3,6368.66208,0.5,1,0,0,0,1.0,1.0,15.0,9.0,30.0,19.0,Eclipse,1.0,9.0,19.0,2
1105.01,0.7185333333333334,4664.0,0.755833,79.5225,4.55045,8.91,9.446,8.762,11.329,8.663,8.751,8.67,10.2809,0,146.053969,-89.471513,1105.01,2.86547,0.2556405500895205,8.67686526163282,0.0273004712026838,10.8681705,686.6452227730833,12866084405.082228,0.1,2.3,8388.0,0.5,1,0,0,0,5.0,551.0,56.0,3419.0,112.0,6326.0,Transit,5.0,56.0,112.0,1
