Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star K Mag,Star V Mag,Star Metallicity,Star Age [Gyr],Star RA,Star Dec,Planet Name,Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Radius [Re],Planet Albedo,Planet Mass [Me],Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Eccentricity,Transit Mid Time,Transit Mid Time Flag,"Known (Y=1,N=0)",Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Best Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS Flag,Tier,Number Observations,Time [s]
WASP-62,1.203333333,6230.0,1.263333333,160.0,8.943999999999999,10.3,0.04,,87.14081385,-63.98838365,WASP-62 b,4.411951999999999,1459.001373,8377488007.0,14.99686601,0.3,175.85845049999998,2.3,11021.267679999999,0.5,1,88.3,0.0,2458485.171,1,1,1.0,1.0,2.0,1.0,3.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,27553.169199999997
WASP-17,1.74,6600.0,1.435,400.0,10.224,11.6,-0.22,3.0,239.96240299999997,-28.06169985,WASP-17 b,3.7354339999999997,1637.4997759999999,8478293384.0,21.18398768,0.3,201.1778299,2.3,11078.55214,0.401,1,86.73,0.027999999999999997,2458485.6119999997,1,1,1.0,1.0,2.0,1.0,3.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,27696.38035
WASP-10,0.73,4675.0,0.7415,90.0,9.982999999999999,12.7,0.03,0.8,348.99228930000004,31.462814899999998,WASP-10 b,3.0927616,1026.245254,5596328889.0,11.85118192,0.3,1002.7109849999999,2.3,7479.696126999999,0.299,1,87.645,0.057,2454664.037,0,1,7.0,1.0,-99.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,37398.480635
388940910,1.03304,5758.51,2.2216,122.2542063,7.108,8.66,,,208.7010263,5.926811715,388940910 c,4.100464463,1879.7313239999999,7582732360.0,13.12365519,0.3,114.33698290000001,2.3,22559.22218,0.19036245100000002,1,87.77691964,0.066619247,2458486.95,1,0,1.0,1.0,1.0,1.0,2.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,56398.05545
26516328,1.055955125,5849.0,1.16136,361.579,10.744000000000002,12.214,,,354.85384730000004,50.58639474,26516328 b,3.493507894,1450.8421369999999,6864690368.0,19.14596009,0.3,741.5925507999999,2.3,11281.9482,0.06393820900000001,1,89.56894247,0.167271058,2458487.974,1,0,2.0,1.0,32.0,1.0,-99.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,28204.8705
HATS-24,1.2109999999999999,6346.0,1.171,510.0,11.382,12.815,0.0,0.88,268.89117630000004,-61.74726662,HATS-24 b,1.3484954,2121.8821629999998,3809304360.0,16.31732177,0.3,775.4722036000001,2.3,7621.1640560000005,0.276,1,86.6,0.24100000000000002,2457038.473,0,1,7.0,1.0,-99.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,38105.82028
HAT-P-57,2.12,6915.0,1.675,303.0,9.433,10.4675,-0.25,1.0,278.4925439,10.59725813,HAT-P-57 b,2.4652974999999997,2060.015217,6864193068.0,17.29943361,0.3,518.0408573,2.3,11501.43097,0.031,1,88.26,0.0,2458485.391,1,1,1.0,1.0,17.0,1.0,33.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,28753.577425
HAT-P-56,1.337333333,6566.0,1.442,310.5,9.83,10.909,-0.0385,2.01,101.099019,27.25225761,HAT-P-56 b,2.7908318,1880.394345,6394407533.0,16.247824100000003,0.3,708.7307434999999,2.3,7805.6215010000005,0.7613,1,82.13,0.24600000000000002,2458485.1580000003,1,1,4.0,1.0,-99.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,39028.107505
176783673,1.1758600000000001,6168.0,2.0874200000000003,154.608282,7.67,9.032,,,142.7303061,-21.01228184,176783673 b,6.150989,1668.495191,10374802047.0,18.02584408,0.3,612.8206,2.3,23494.4972,0.122343509,1,89.01902727,0.068977862,2458490.137,1,0,1.0,1.0,7.0,1.0,13.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,58736.243
348993743,0.8672364920000001,5140.0,1.345071,378.30400000000003,11.565999999999999,13.722999999999999,,,106.83526859999999,-65.09294703,348993743 b,2.25857546,1639.775997,4806551109.0,17.88550875,0.3,596.6872227000001,2.3,11832.48227,0.205144933,1,87.71170157,0.002399574,2458485.963,1,0,3.0,1.0,40.0,1.0,-99.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,29581.205675
HAT-P-6,1.456666667,6570.0,1.513333333,220.33333330000002,9.312999999999999,10.47,-0.13,2.3,354.774611,42.46604205,HAT-P-6 b,3.852995333,1706.5659289999999,8157373779.0,15.1431769,0.3,363.7939272,2.3,11840.753770000001,0.5,1,85.51,0.0,2458486.398,1,1,1.0,1.0,12.0,1.0,23.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,29601.884425000004
