Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1101.01,1.000875,5803.5,1.56013,262.794,4.06878,9.798,10.064,9.779,11.254,9.503,9.549,9.561,10.5891,0,319.551469,-77.529113,1101.01,10.2264744,0.912346505,74.74098273,0.23516143,2.6690078,1741.908139,5634901168,0.3,2.3,6368.66208,0.5,1,0,0,0,1,1,15,9,30,19,Eclipse,1,9,19,2
1106.01,0.768933333,5042,4.93786,523.425,4.5,8.676,9.203,8.601,10.951,8.52,8.573,8.495,10.0717,0,253.110033,-79.135182,1106.01,14.7645,1.317202728,237.8865433,0.748474769,11.1149,1748.59962,13358562599,0.3,2.3,8136,0.5,1,0,0,0,57,7,629,51,1258,104,Eclipse,7,51,104,1
1105.01,0.718533333,4664,0.755833,79.5225,4.55045,8.91,9.446,8.762,11.329,8.663,8.751,8.67,10.2809,0,146.053969,-89.471513,1105.01,2.86547,0.25564055,8.676865262,0.027300471,10.8681705,686.6452228,12866084405,0.1,2.3,8388,0.5,1,0,0,0,5,551,56,3419,112,6326,Transit,5,56,112,1
1102.01,0.62884,4006,0.705027,58.0624,4.541,8.716,9.414,8.558,11.976,8.469,8.542,8.419,10.5652,0,263.003209,-76.858265,1102.01,2.75375,0.245673542,8.061881102,0.025365515,6.63371,686.5821946,8855454074,0.1,2.3,7639.2,0.5,1,0,0,0,4,277,42,1657,84,3001,Transit,4,42,84,1
1108.01,1.9808,8152,1.96177,417.08,4.15162,9.536,9.639,9.507,10.062,9.373,9.388,9.334,9.941,0,274.221618,-68.197779,1108.01,22.1531,1.976370602,1087.302521,3.421036316,7.14386,1763.620964,13638354030,0.3,2.3,5281.2,0.5,1,0,0,0,6,1,89,3,180,7,Eclipse,1,3,7,2
1107.01,1.337875,6501,1.74836,281.314,4.07666,9.322,9.545,9.205,10.553,9.156,9.18,9.158,10.0068,0,155.607863,-82.218869,1107.01,13.8483556,1.235469659,134.9415447,0.424573581,4.078221,1708.719891,8234656315,0.3,2.3,17422.4898,0.5,1,0,0,0,1,1,4,2,8,4,Eclipse,1,2,4,2
1116.01,0.86826,5501,0.906282,94.4178,4.50581,8.554,8.918,8.467,10.24,8.436,8.481,8.431,9.5268,0,27.699972,-75.848774,1116.01,2.1930769,0.195653553,5.525767819,0.01738601,5.00999,1044.610027,8177758819,0.3,2.3,6128.70156,0.5,1,0,0,0,10,299,113,2084,224,4102,Transit,10,113,224,1
1112.01,1.457125,6819,2.20928,292.085,3.91688,8.83,9.003,8.739,9.908,8.702,8.718,8.647,9.5162,0,163.628917,-87.269735,1112.01,4.92567,0.439439599,21.62794898,0.068049138,2.78186,2256.418401,6565214356,0.3,2.3,8841.6,0.5,1,0,0,0,8,18,91,139,180,275,Transit,8,91,180,1
1119.01,1.321,6456,2.06848,421.518,3.92404,9.777,10.006,9.703,10.937,9.659,9.676,9.607,10.5024,0,292.604815,-46.278074,1119.01,23.9726,2.138695799,1296.477787,4.079175305,10.95663,1330.498849,15846939405,0.3,2.3,12916.8,0.5,1,0,0,0,7,1,93,3,184,6,Eclipse,1,3,6,2
1117.01,0.9448,5731,1.02422,167.598,4.42588,9.474,9.77,9.385,11.016,9.364,9.409,9.336,10.4055,0,273.602061,-66.419974,1117.01,2.56778,0.229082381,7.224700014,0.022731448,2.2281625,1494.478094,4900845326,0.3,2.3,7254,0.5,1,0,0,0,9,87,118,720,237,1412,Transit,9,118,237,1
