Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mj],Msin(i) Error Lower [Mj],Msin(i) Error Upper [Mj],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Impact Parameter,Impact Parameter Error Lower,Impact Parameter Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,ExoClock Priority,Transit Mid Time [days],ExoClock Ephemeris,Replaced Values,Transit,Transit Impact Parameter,Eclipse,Eclipse Impact Parameter,Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Eclipse Mid Time,Mass Flag,Planet Radius [Re],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Available Transits,Available Eclipses,Planet Semi-major Axis [m],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
WASP-19,0.965,-0.095,0.091,5616,-65,66,1.006,-0.034,0.031,4.417,-0.021,0.02,0.04,-0.3,0.25,[Fe/H],6.4,-3.5,4.1,,4,-2,2,10.5,-0.2,0.2,268.325,-1.698,1.72,3.69808,-0.0235561,0.0235561,,,TIC 35516889,Gaia DR2 5411736896952029568,13.054,12.31000042,10.602,,10.91100025,10.48099995,,,,,,11.6044,,12.1088,10.436,10.494,10.311,9.144,148.4167672,-45.6591078,39.4024365,-0.0407048,0.0407048,-35.4074,-0.0408335,0.0408335,17.2878,-0.0401602,0.0401602,WASP-19b,1.415,-0.048,0.044,0.1441,-0.0005,0.00049,1.133,-0.079,0.078,1.154,-0.08,0.078,255.4,-6.2,6.1,0.506,-0.03,0.031,0.788839092,2.40E-08,2.40E-08,0.01652,-0.00056,0.0005,3.533,-0.052,0.048,79.08,-0.37,0.34,0.6671,-0.0091,0.0087,0.0126,-0.0089,0.014,51,-190,89,1,-1.2,1.2,,,,2456402.713,3.70E-05,3.70E-05,2.077,-0.014,0.014,1.607,-0.007,0.007,,,,1,1,SuperWASP,2009,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,2020-04,0,Published Confirmed,16,11,FALSE,TRUE,2020,4,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",ttvs,2456885.483,TRUE,"Star Rotational Velocity [km/s], Star Rotation Period [days], Projected Obliquity, ",TRUE,0.662689819,TRUE,0.675796328,5847.064316,1239.872507,3367.319301,5901.594098,1285.508122,3330.577855,2112.71192,2123.199146,2102.509498,2456403.111,FALSE,15.86070773,,,,366.7739812,24.79061571,-25.42627253,4507517.59,226252.95,226454.55,3311.492394,166.2189682,166.3670757,748,752,2471356824,1,9,18,1,1,1,Eclipse,1,1,1,0,0,0,3
HAT-P-16,1.218,-0.039,0.039,6158,-80,80,1.237,-0.054,0.054,4.34,-0.03,0.03,0.17,-0.08,0.08,[Fe/H],2,-0.8,0.8,F8,3.5,-0.5,0.5,,,,226.637,-4.305,4.471,4.38591,-0.084741,0.084741,,,TIC 191284318,Gaia DR2 381592313648387200,11.38,10.90999985,9.623,,9.850000381,9.55300045,,,,,,10.374,,10.7568,9.506,9.531,9.505,8.681,9.5730343,42.4630961,22.0468365,-0.0846157,0.0846157,-21.5641,-0.0805157,0.0805157,-4.58831,-0.148709,0.148709,HAT-P-16b,1.289,-0.066,0.066,0.1071,-0.0014,0.0014,,,,4.193,-0.094,0.094,531.1,-2.8,2.8,2.42,-0.35,0.35,2.77596748,2.10E-07,2.10E-07,0.0413,-0.0004,0.0004,7.17,-0.28,0.28,86.6,-0.7,0.7,0.439,-0.098,0.065,0.036,-0.004,0.004,214,-8,8,,,,,,,2455027.593,0.00013,0.00013,1.147,-0.029,0.03,3.0624,-0.0312,0.0312,,,,1,1,HATNet,2010,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,2010-09,0,Published Confirmed,1,0,FALSE,FALSE,2010,9,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2457237.264,TRUE,,TRUE,0.433400363,TRUE,0.416295189,11120.01931,1305.171471,8509.67637,10756.90223,1243.046492,8270.809247,1626.16687,1610.759627,1643.518795,2455028.928,FALSE,14.44837616,,,,1332.654509,29.87587022,-29.87587022,1555631.97,165545.02,138197.75,1142.860418,121.6192868,101.5283443,155,154,6178392060,15,175,347,1,1,2,Eclipse,1,1,2,0,0,0,3
HAT-P-32,1.132,-0.05,0.051,6001,-88,88,1.367,-0.03,0.031,4.22,-0.04,0.04,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,20.7,,0.5,,,,289.205,-5.167,5.355,3.43046,-0.062397,0.062397,,,TIC 292152376,Gaia DR2 356348286886230272,11.794,11.43999958,10.024,,10.2510004,9.989999771,,,,,,10.7696,,11.1335,9.902,9.906,9.893,8.568,31.0427614,46.6878512,10.421795,-0.0989128,0.0989128,-9.82484,-0.100464,0.100464,3.47654,-0.0855204,0.0855204,HAT-P-32b,1.98,-0.045,0.045,0.14886,-0.00054,0.00056,0.68,-0.1,0.11,0.68,-0.1,0.11,99,-15,16,0.108,-0.017,0.018,2.150008197,8.90E-08,8.90E-08,0.03397,-0.0005,0.00051,5.344,-0.039,0.04,88.98,-0.85,0.68,0.083,-0.055,0.07,0.159,-0.028,0.051,50,-18,27,85,-1.5,1.5,,,,2455867.403,4.40E-05,4.40E-05,2.216,-0.016,0.017,3.12048,-0.01176,0.01248,,,,1,1,HATNet,2011,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,2019-02,0,Published Confirmed,8,5,FALSE,TRUE,2019,2,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2456265.154,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], Projected Obliquity, ",TRUE,0.08265795,TRUE,0.105586301,11263.28578,1487.15117,8288.983439,14335.52545,1892.315061,10550.89533,1835.588821,1969.217164,1742.336926,2455868.618,FALSE,22.19378185,,,,216.1233165,34.96112473,-31.78284066,2558849.39,177145.02,118967.91,1879.884021,130.1413416,87.40095213,195,196,5081839668,1,1,1,1,1,1,Either,1,1,1,0,0,0,3
WASP-67,0.91,-0.28,0.28,5200,-100,100,0.88,-0.08,0.08,4.35,-0.15,0.15,-0.07,,,[Fe/H],12.6,-4.2,1,,2.1,,0.4,,,,189.469,-1.533,1.557,5.24956,-0.0427099,0.0427099,,,TIC 68952448,Gaia DR2 6868476691490044672,12.896,12.53999996,10.214,,10.6079998,10.12899971,,,,,,11.355,,11.9141,10.026,10.077,10.118,8.171,295.7438485,-19.9497314,32.9490112,-0.0568436,0.0568436,1.75947,-0.070603,0.070603,-32.902,-0.0567995,0.0567995,WASP-67b,1.15,-0.11,0.11,0.134292145,-0.003350903,0.003350903,,,,0.43,-0.09,0.09,56,-4,4,,,,4.61441644,6.90E-07,6.90E-07,0.052505636,,,12.83,-0.63,0.63,85.8,-0.35,0.35,0.939646069,,,0,,,0,,,,,,,,,2450000,0.00013,0.00013,1.8,-0.09,0.09,,,,,,,1,1,SuperWASP,2012,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2017-03,0,Published Confirmed,4,1,FALSE,TRUE,2017,3,10,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Impact Parameter, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Transit Mid Time, ",medium,2456650.355,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], ",Semi-Grazing,0.939646069,Semi-Grazing,0.939646069,6304.073061,3151.840749,0.391562564,6304.073061,3151.840749,0.391562564,1026.537969,1026.537969,1026.537969,2450002.307,FALSE,12.89032784,,,,136.6662148,28.60455659,-28.60455659,251650.03,34134.42,28023.58,184.8771843,25.07718937,20.58780031,76,77,7854731280,1,7,14,1,9,17,Transit,1,7,14,0,0,0,2
WASP-185,1.12,-0.06,0.06,5900,-100,100,1.5,-0.08,0.08,4.13,-0.05,0.05,-0.02,-0.06,0.06,[Fe/H],6.6,-1.6,1.6,G0 V,2.8,-0.9,0.9,,,,279.35,-3.358,3.439,3.55163,-0.0432184,0.0432184,,,TIC 46020827,Gaia DR2 6284007337003799552,11.742,11.01900005,9.601,,9.873000145,9.505000114,13.9737,11.4141,14.4887,10.8576,12.9521,10.4725,,10.8949,9.473,9.514,9.468,9,214.0595791,-19.5423062,14.7093006,-0.0810214,0.0810214,-13.403,-0.0835625,0.0835625,-6.05996,-0.0672206,0.0672206,WASP-185b,1.25,-0.08,0.08,0.085635571,-0.002919348,0.002919348,,,,0.98,-0.06,0.06,88,-4,4,0.66,-0.16,0.16,9.38755,2.00E-05,2.00E-05,0.0904,-0.0017,0.0017,12.9,-0.7,0.7,86.8,-0.3,0.3,0.81,-0.03,0.03,0.24,-0.04,0.04,-42,-7,7,,,,,,,2456935.982,0.002,0.002,0.73,-0.05,0.05,4.608,-0.144,0.144,,,,1,1,WASP-South,2019,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,2019-11,0,Published Confirmed,0,0,FALSE,FALSE,2019,11,13,TRUE,,FALSE,FALSE," Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",alert,2456935.983,TRUE,,TRUE,0.808449853,TRUE,0.584718993,16810.7966,3451.064677,9908.66725,15349.84978,1779.100635,11791.64851,1161.561366,1096.254127,1289.03344,2456941.75,FALSE,14.01122591,,,,311.4718385,19.0697044,-19.0697044,409554.11,65280.67,42782.51,300.882979,47.95909009,31.43059425,35,40,13523647511,4,40,78,1,6,11,Eclipse,1,6,11,0,0,0,2
LTT3780,0.379,-0.016,0.016,3360,-51,51,0.382,-0.012,0.012,4.81,-0.04,0.04,0.09,-0.16,0.16,[Fe/H],3.1,-0.98,6.2,M3.5 V,3,,,104,-15,15,21.9814,-0.0402,0.0403,45.4644,-0.0826889,0.0826889,,,TIC 36724087,Gaia DR2 3767281845873242112,14.678,13.14000034,8.439,,9.006999969,8.204000473,,,,,,10.5848,,11.8465,,,,,154.6449033,-11.717801,421.9000381,-0.1111113,0.1111113,-341.409,-0.114169,0.114169,-247.87,-0.105066,0.105066,LTT3780b,0.12043914,-0.00535285,0.00535285,0.0324,-0.001,0.0011,,,,0.00736246,-0.00072366,0.00075512,3.117897253,,,5.24,-0.81,0.94,0.768448,5.50E-05,5.50E-05,0.01203,-0.00053,0.00054,6.77,-0.21,0.22,85.9,-0.5,0.59,0.518,-0.089,0.059,0.064,-0.046,0.075,251,-66,66,,,,,,,2458543.913,0.0011,0.0011,0.104973446,,,0.818,-0.022,0.044,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.173N/abstract target=ref>Nowak et al. 2020</a>,2020-10,0,Published Confirmed,0,0,FALSE,FALSE,2020,10,13,TRUE,,FALSE,FALSE," Transit Depth, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2458543.912,TRUE,"Star Age [Gyr], Star Rotation Period [days], ",TRUE,0.51310468,TRUE,0.454548878,2987.101652,126.5099788,2734.081695,2738.76645,108.1461294,2522.474191,913.1243943,886.8834501,942.2784173,2458544.287,FALSE,1.35,,,,2.33999893,0.239998586,-0.229999705,160362.13,15987.84,15178.22,117.8116254,11.74562484,11.15082949,449,450,1799662385,3,23,46,40,270,535,Transit,3,23,46,0,0,0,1
TOI-2158,1.12,-0.12,0.12,5673,-50,50,1.41,-0.03,0.03,4.19,-0.05,0.05,0.47,-0.08,0.08,[Fe/H],8,-1,1,,3.7,-0.5,0.5,19,-3,3,198.473,-1.383,1.403,5.0099,-0.0350975,0.0350975,,,TIC 342642208,Gaia DR2 4525545299652540672,11.656,10.89000034,9.172,,9.468999863,9.071000099,,,,,,10.1669,,10.6718,9.025,9.076,8.993,8.957,276.8100527,20.5268868,44.6987693,-0.0448273,0.0448273,-43.9968,-0.0435487,0.0435487,7.8906,-0.0743149,0.0743149,TOI-2158b,0.96,-0.012,0.012,0.07,-0.0009,0.0009,,,,0.82,-0.08,0.08,75,-4,4,1.14,-0.12,0.12,8.60077,3.00E-05,3.00E-05,0.075,-0.004,0.004,11.4,-0.5,0.6,85.7,-0.3,0.4,0.86,-0.03,0.02,0,,,52,-52,19,,,,,,,2459018.923,0.001,0.001,0.489525283,,,3.77,-0.06,0.05,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,2022-04,0,Published Confirmed,0,0,FALSE,FALSE,2022,4,12,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ",high,2459018.923,TRUE,,TRUE,0.854757486,TRUE,0.854757486,13400.00358,2886.82393,7626.355714,13400.00358,2886.82393,7626.355714,1188.079111,1188.079111,1188.079111,2459023.223,FALSE,10.7606215,,,,260.6192934,25.42627253,-25.42627253,457176.43,45443.29,42353.24,335.8691875,33.38536261,31.1152268,58,57,11219840303,7,66,131,2,11,21,Eclipse,2,11,21,0,0,0,2
HAT-P-41,1.418,,0.047,6390,,100,1.683,,0.058,,,,,,,,2.2,-0.4,0.4,,19.6,,0.5,,,,348.185,-4.417,4.529,2.84386,-0.0366131,0.0366131,,,TIC 398895470,Gaia DR2 4290415081653653632,11.652,11.35999966,9.777,,10.00599957,9.727999687,,,,,,10.5523,,10.939,9.559,9.601,9.6,9.085,297.3226523,4.6724124,7.1841239,-0.0478135,0.0478135,-3.27913,-0.0585694,0.0585694,-6.3921,-0.0445534,0.0445534,HAT-P-41b,1.685,-0.051,0.076,0.1028,-0.0016,0.0016,,,,0.8,-0.102,0.102,92.5,-11.6,11.6,0.2,-0.03,0.03,2.69404968,9.60E-07,9.60E-07,0.0426,-0.0005,0.0005,5.44,-0.15,0.09,87.7,-1,1,0.222,-0.093,0.088,0,,,0,,,,,,,,,2454983.862,0.00015,0.00015,0.771,,,4.0896,-0.0288,0.0288,,,,1,1,HATNet,2012,<a refstr=HARTMAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....144..139H/abstract target=ref> Hartman et al. 2012 </a>,2012-11,0,Published Confirmed,2,6,FALSE,TRUE,2012,11,11,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458071.244,TRUE,"Star Age [Gyr], ",TRUE,0.218316951,TRUE,0.218316951,14833.41157,1460.096576,11913.21842,14833.41157,1460.096576,11913.21842,1937.253305,1937.253305,1937.253305,2454985.209,FALSE,18.88713253,,,,254.2627253,32.41849747,-32.41849747,3364119.24,264859.26,179229.7,2471.483484,194.5814758,131.6728724,146,145,6372869292,1,3,6,1,1,2,Eclipse,1,1,2,0,0,0,3
HATS-2,0.882,-0.037,0.037,5227,-95,95,0.898,-0.019,0.019,4.48,-0.02,0.02,0.15,-0.05,0.05,[Fe/H],9.7,-2.9,2.9,K,1.5,-0.5,0.5,22.46,-5.2,5.2,341.925,-3.598,3.674,2.89606,-0.0308646,0.0308646,,,TIC 413376180,Gaia DR2 3492502001623237888,14.53,13.61999989,11.475,,11.90600014,11.38599968,,,,,,12.7492,,13.3419,11.285,11.333,11.357,8.812,176.7388264,-22.5630097,46.4383031,-0.0465435,0.0465435,-46.4235,-0.0465543,0.0465543,-1.17245,-0.0241725,0.0241725,HATS-2b,1.168,-0.03,0.03,0.1335,-0.001,0.001,,,,1.345,-0.15,0.15,268.9,-29,29,1.05,-0.14,0.14,1.354133683,8.60E-08,8.60E-08,0.023,-0.0003,0.0003,5.5,-0.09,0.09,87.2,-0.7,0.7,0.271,-0.074,0.055,0,,,0,,,8,-8,8,38.49,-27.13,27.13,2455954.586,0.0001,0.0001,1.786503613,,,2.0688,-0.0096,0.0096,,,,1,1,HATSouth,2013,<a refstr=MOHLER_FISCHER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..55M/abstract target=ref> Mohler-Fischer et al. 2013 </a>,2013-10,0,Published Confirmed,2,0,FALSE,FALSE,2013,10,11,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ",low,2457108.308,TRUE,"Star Rotation Period [days], True Obliquity, ",TRUE,0.268673734,TRUE,0.268673734,7516.215846,955.1827266,5605.850393,7516.215846,955.1827266,5605.850393,1575.999798,1575.999798,1575.999798,2455955.263,FALSE,13.09208949,,,,427.4792069,47.67426099,-47.67426099,1407946.73,123002.37,125621.17,1034.361995,90.36490808,92.28883541,255,252,3440751026,6,85,171,1,4,7,Eclipse,1,4,7,1,0,1,2
TOI-251,1.036,-0.009,0.013,5875,-190,100,0.881,-0.047,0.038,4.56,-0.046,0.046,-0.106,-0.07,0.079,[Fe/H],0.18,-0.14,0.14,,11.5,-1,1,3.84,-0.48,0.48,99.523,-0.4336,0.4374,10.0193,-0.0436361,0.0436361,,,TIC 224225541,Gaia DR2 6539037542941988736,10.528,9.932999611,8.498,,8.765999794,8.425999641,,,,,,9.3258,,9.75411,8.372,8.399,8.368,8.49,353.0620655,-37.2558629,44.6798041,-0.0743526,0.0743526,44.6393,-0.074361,0.074361,1.90205,-0.0695512,0.0695512,TOI-251b,0.24444643,-0.01605852,0.01605852,0.02858,-0.001,0.0011,,,,0.034672798,-0.012742725,0.020168115,120,,,,,,4.9377254,1.00E-05,1.00E-05,0.05741,-0.00017,0.00023,14.02,-0.61,0.82,87.52,-0.31,0.4,0.607,-0.07,0.047,0,,,0,,,,,,,,,2458357.305,0.001,0.001,0.081299237,,,2.232,-0.048,0.0624,,,,1,0,Transiting Exoplanet Survey Satellite (TESS),2021,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,2021-01,0,Published Confirmed,0,0,FALSE,FALSE,2021,1,10,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",high,2459107.839,TRUE,,TRUE,0.606654528,TRUE,0.606654528,8057.726431,349.2432621,7359.239907,8057.726431,349.2432621,7359.239907,1109.478438,1109.478438,1109.478438,2458359.774,TRUE,2.739995324,4.038107155,2.348844543,1.484059344,11.02,6.41,-4.05,329413.24,48292.08,46060.91,242.0066959,35.47825436,33.83910325,78,81,8588413757,8,78,153,82,542,1097,Transit,8,78,153,0,0,0,1
HD1397,1.324,-0.046,0.042,5521,-60,60,2.336,-0.059,0.052,3.823,-0.02,0.02,0.29,-0.09,0.09,[Fe/H],4.51,-0.5,0.5,,3,-0.3,0.3,,,,79.5702,-0.1731,0.1738,12.5386,-0.0271885,0.0271885,HD 1397,HIP 1419,TIC 394137592,Gaia DR2 4707634458245031552,8.474,7.78000021,6.09,,6.441999912,5.987999916,,,,,,7.1062,,7.59336,6.018,5.898,5.988,5.921,4.4471631,-66.3589285,64.9597291,-0.0491517,0.0491517,64.7627,-0.0491955,0.0491955,-5.0556,-0.0413414,0.0413414,HD1397b,1.026,-0.027,0.025,0.04513,-0.00025,0.0003,,,,0.415,-0.02,0.02,32,-1.4,1.4,0.477,-0.038,0.043,11.5353,0.0008,0.0008,0.1097,-0.0013,0.0011,10.1,-0.22,0.24,88.99,-0.73,0.67,0.17,-0.11,0.12,0.251,-0.019,0.02,2.1,-7,6.1,,,,,,,2458332.083,0.0006,0.0006,0.2037,-0.0023,0.0027,8.6016,-0.0312,0.0336,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2018,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,2019-03,0,Published Confirmed,0,0,FALSE,FALSE,2019,3,14,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2458332.083,TRUE,"Star Rotational Velocity [km/s], ",TRUE,0.165295319,TRUE,0.168364175,31158.10709,1386.92015,28384.26679,31720.18249,1412.43194,28895.31861,1228.406377,1274.854429,1263.182295,2458339.673,FALSE,11.50041423,,,,131.8987887,6.356568132,-6.356568132,515290.49,29894.42,31252.62,378.5632567,21.96223142,22.96004649,68,69,16410886416,3,5,7,2,3,4,Eclipse,2,3,4,0,0,0,2
TOI-4010,0.88,-0.03,0.03,4960,-36,36,0.83,-0.01,0.01,4.54,-0.02,0.02,0.37,-0.07,0.07,[Fe/H],6.1,-3.1,3.1,K V,1.3,-0.5,0.5,37.7,-15,15,177.504,-0.982,0.994,5.60499,-0.0311275,0.0311275,,,TIC 352682207,Gaia DR2 525352325110310400,13.381,12.41300011,10.25,,10.64900017,10.15699959,,,,,,11.5163,,12.1216,10.045,10.137,9.927,8.663,20.2148196,66.0722009,43.662407,-0.0396487,0.0396487,38.6159,-0.0380062,0.0380062,-20.3769,-0.0450566,0.0450566,TOI-4010d,0.55134362,-0.01338213,0.01248998,0.068,-0.002,0.001,,,,0.12003332,-0.01013125,0.01028857,10.9,-0.9,0.9,0.9,-0.1,0.1,14.70886,3.00E-05,3.00E-05,0.113,-0.001,0.001,29.27546216,,,89,-0.1,0.1,0.51,-0.08,0.06,0.07,-0.03,0.03,109,-275,57,,,,,,,2458985.985,0.001,0.001,0.465971558,,,3.6,-0.07,0.08,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2023,<a refstr=KUNIMOTO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166....7K/abstract target=ref>Kunimoto et al. 2023</a>,2023-07,0,Published Confirmed,0,0,FALSE,FALSE,2023,7,12,TRUE,,FALSE,FALSE," a/Rs, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2458985.985,TRUE,,TRUE,0.47686199,TRUE,0.544459479,12358.72859,1001.679465,10355.36966,13566.56494,1198.992934,11168.57907,648.2086151,670.9620927,627.9304681,2458993.126,FALSE,6.180000013,,,,38.14999883,3.269999809,-3.219999044,39854.2,1672.04,1531.42,29.27928234,1.228380729,1.125072855,41,41,16904559389,4,44,88,216,1414,2816,Transit,4,44,88,0,0,0,1
